id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Avg. pub. year>	description	url
37	management	1.8295	1.8461	2	19	51	11	2021.36		
38	knowledge	-1.7233	-1.6791	6	57	211	26	2021.58		
39	engineering education	-2.5018	-0.0152	5	19	58	13	2022.46		
40	esd	1.7333	1.6756	2	39	141	37	2022.32		
41	participatory action research	-2.5064	0.2983	5	2	4	2	2022.0		
42	sweden	-2.5862	0.277	5	3	6	2	2021.5		
43	engineering	-2.5663	0.0994	5	6	14	4	2020.5		
44	capacity building	-2.5366	0.2048	5	3	7	5	2020.8		
45	green skills	1.7253	1.5068	2	6	14	9	2024.56		
46	policy making	1.7633	1.531	2	5	11	4	2024.75		
47	ireland	-1.8879	-1.6064	6	6	14	4	2023.75		
48	innovation	2.5441	-0.0923	1	19	57	10	2022.3		
49	sustainability education	-2.5523	-0.047	5	17	53	14	2024.21		
50	workforce development	-2.2399	0.2109	5	1	2	2	2024.5		
51	green economy	-2.2325	0.1033	5	1	2	3	2023.67		
52	curriculum	2.5092	-0.0446	1	71	319	43	2021.77		
53	environmental attitudes	1.7511	1.3937	2	1	2	2	2021.0		
54	behaviors	-1.5793	-1.6842	6	8	18	3	2023.0		
55	systems thinking	2.6043	-0.0069	1	7	15	8	2023.5		
56	gender	-1.732	-1.6035	6	11	31	6	2021.5		
57	learning design	-2.1102	-2.0057	6	3	6	2	2024.0		
58	design	1.7815	1.6706	2	10	26	7	2023.29		
59	competencies	1.8176	1.5379	2	5	14	5	2021.0		
60	global climate	-1.9503	1.3162	4	3	6	2	2024.0		
61	curriculum design	2.4151	0.1715	1	5	14	7	2022.71		
62	perception	-1.8063	-1.7072	6	19	65	9	2021.0		
63	quality	-1.949	-1.7214	6	9	19	5	2022.8		
64	behavior	-1.6249	-1.6444	6	14	44	12	2021.58		
65	romania	-2.0286	-1.6475	6	4	8	2	2022.5		
66	sustainable development goal	-1.7417	-1.8634	6	33	103	15	2023.67		
67	ethics	-1.5979	-1.7606	6	14	31	6	2023.33		
68	active learning	2.6142	0.1115	1	4	12	6	2022.67		
69	complexity	-2.1742	-1.8934	6	2	4	2	2023.0		
70	values	-1.6693	-1.581	6	11	32	9	2020.78		
71	nep	-2.3613	-0.4238	5	1	2	2	2017.0		
72	evaluation	-2.4236	-0.4443	5	1	2	3	2019.33		
73	caucasus	-2.6545	0.2975	5	2	4	2	2022.0		
74	sustainable development goals	1.8529	1.812	2	51	213	53	2023.28		
75	comparative study	-1.736	-1.4799	6	5	10	3	2024.33		
76	european union	-2.4559	0.3415	5	2	4	2	2024.5		
77	male	-1.6643	1.8556	4	21	51	4	2022.5		
78	questionnaire	-1.5685	1.9846	4	10	20	3	2023.0		
79	nursing student	-1.8015	1.7145	4	8	16	2	2021.5		
80	environmental protection	-1.5215	1.8451	4	15	32	5	2021.8		
81	conservation of natural resources	-1.4707	1.8764	4	10	20	2	2022.0		
82	procedures	-1.4998	1.7912	4	10	20	2	2022.0		
83	environmental sustainability	-1.498	1.946	4	14	31	7	2021.29		
84	humans	-1.6447	1.816	4	21	51	4	2022.5		
