id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Avg. pub. year>	description	url
33	Angel Kanchev University of Ruse	2.1796	0.7465	10	4	4	1	2024.0		
34	University of Basilicata	2.2942	0.7541	10	4	4	1	2024.0		
35	S. Toraighyrov Pavlodar State University	2.2545	0.5686	10	4	4	1	2024.0		
36	Esslingen University of Applied Sciences	2.4484	0.8878	11	3	3	1	2018.0		
37	University of Plymouth	2.2377	0.8072	11	3	3	3	2017.0		
38	Universidad de Jaén	2.4111	0.6698	11	5	5	2	2021.5		
39	Maastricht University	2.3063	0.9436	11	3	3	2	2020.5		
40	Technological University Dublin	2.4971	0.3685	4	3	3	2	2024.5		
41	United Arab Emirates University	2.4133	0.8386	12	0	0	3	2022.0		
42	United Nations University Institute for the Advanced Study of Sustainability	2.4141	0.5777	13	2	2	1	2019.0		
43	United Nations University Institute for Sustainability and Peace	2.4595	0.6146	13	2	2	1	2019.0		
44	University of Queensland	2.3658	0.6853	13	8	8	3	2019.0		
45	University of the Basque Country	2.1135	1.1127	14	1	1	2	2020.5		
46	Meiho University	2.2963	0.9491	15	0	0	3	2023.33		
47	Clemson University	2.0593	1.2428	16	1	1	1	2021.0		
48	Temple University	2.5007	0.808	16	1	1	1	2021.0		
49	University of Huddersfield	2.1511	1.3475	17	2	2	1	2021.0		
50	Vilnius Gediminas Technical University	2.5234	1.046	17	2	2	1	2021.0		
51	University of Ruhuna	2.0762	0.8743	17	2	2	1	2021.0		
52	University of Hong Kong	2.215	1.0907	18	4	4	2	2020.5		
53	Education University of Hong Kong	2.1995	0.8275	18	1	1	1	2017.0		
54	Open University of the Netherlands	2.0778	1.4316	19	2	3	2	2018.0		
55	University of Girona	2.4757	1.1562	19	2	2	3	2019.33		
56	Charles University	2.0025	1.055	19	2	3	2	2018.0		
57	Technological University of Tajikistan	2.63	0.4745	10	3	3	1	2024.0		
58	International University of Kyrgyzstan	2.7351	0.556	10	3	3	1	2024.0		
59	Toraighyrov University	2.6753	0.6747	10	3	3	1	2024.0		
